# The analysis results in this file have been extracted from a superset of the
#
#   Multi-INstrument Burst ARchive (MINBAR) data release 1
#
# comprising analyses of thermonuclear (type-I) X-ray bursts observed by
# the Rossi X-ray Timing Explorer (RXTE), BeppoSAX, and INTEGRAL.
#
# The data has been generated by a query from the web interface at
#
#   http://burst.sci.monash.edu
#
# Some of the data provided here may be PRELIMINARY and NOT SUITABLE FOR 
# PUBLICATION. For the definitive version of the analysis results comprising
# data release 1, download the machine-readable tables available at
#
#   https://doi.org/10.26180/5e4a697d9b8b6
#
# For more information, see the preprint at http://arxiv.org/abs/2003.00685 
# or contact the PI Duncan.Galloway@monash.edu
#
# The last comment line before the data gives the column field names, which
# are also described below:
#   name = Likely burst origin
#   time = Burst start time (MJD UT)
#   instr = Instrument label
#   type = Burst type (1=thermonuclear, 2=accretion instability, 3=superburst, 4
#   tau = Ratio of fluence to peak flux, tau
#   taue = Uncertainty on tau
#   rad = Blackbody normalisation at burst peak
#   rade = Uncertainty on blackbody normalisation at burst peak
#   instr = Instrument label
#   bfluen = Bolometric fluence (integrated bolometric flux), E_b
#   bfluene = Uncertainty on bolometric fluence
#   rexp = Photospheric radius-expansion flag
#   rise = Burst rise time
#   risee = Error on burst rise
#   sflag = Data quality/analysis flags
#   bnum = Order of the event within the observation
#   edt = Decay constant for exponential fit to profile
#   edte = Error on decay constant
#   hc = Hard colour
#   obsid = Observation ID
#   id = Entry value for RXTE IDL database (internal use only)
#   nh = Absorption column density for blackbody fit
#   nhe = Uncertainty on absorption column density
#   bpflux = Bolometric peak flux (from blackbody fit)
#   bpfluxe = Uncertainty on bolometric peak flux
#   xref = Burst ID in external catalog (G08 or C17)
#   angle = Angle between the source position and pointing axis
#   s_z = Position on the colour-colour diagram, S_Z
#   pcount = Peak count rate
#   pcounte = 1-sigma error on peak count rate
#   ra = R.A. of origin, where known [decimal hours, J2000]
#   baryshift = Add to time to get the arrival time at SS barycentre
#   dur = Burst duration
#   dure = Uncertainty on burst duration
#   type = Burst type (1=thermonuclear, 2=accretion instability, 3=superburst, 4
#   entry_obs = MINBAR observation ID in which this burst falls
#   added = Date burst added [dd-mm-yyy]
#   bc = Bolometric correction adopted for persistent flux
#   bce = Uncertainty on bolometric correction
#   kt = Blackbody temperature kT at burst peak
#   kte = Uncertainty on blackbody temperature kT at burst peak
#   flag = Numeric flag for analysis conditions
#   fluen = Integrated photon flux
#   fluene = Uncertainty on integrated photon flux
#   alpha = Ratio of integrated persistent flux to burst fluence, alpha
#   alphae = Uncertainty on alpha
#   tdel = Time since previous burst from this source
#   mult = Number of MINBAR instruments which detected this event [1,2]
#   pflux = Peak photon flux
#   pfluxe = Uncertainty on peak photon flux
#   name = Likely burst origin
#   vigcorr = Vignetting correction factor
#   trec = Inferred recurrence time
#   perflx = Persistent 3-25 keV flux prior to the burst, F_per
#   perflxe = Uncertainty on persistent flux
#   refs = References for this burst
#   refs = References for this burst
#   time = Burst start time (MJD UT)
#   sc = Soft colour
#   entry = Entry or Record Number
#   dec = Dec of origin, where known [decimal degrees, J2000]
#   gamma = Ratio of persistent flux to peak PRE burst flux, gamma
#
#
# For a complete description of the table fields and units, see
#   https://burst.sci.monash.edu/static/html/columns.html
#
"name"	"time"	"instr"	"type"	"tau"	"taue"	"rad"	"rade"	"instr"	"bfluen"	"bfluene"	"rexp"	"rise"	"risee"	"sflag"	"bnum"	"edt"	"edte"	"hc"	"obsid"	"id"	"nh"	"nhe"	"bpflux"	"bpfluxe"	"xref"	"angle"	"s_z"	"pcount"	"pcounte"	"ra"	"baryshift"	"dur"	"dure"	"type"	"entry_obs"	"added"	"bc"	"bce"	"kt"	"kte"	"flag"	"fluen"	"fluene"	"alpha"	"alphae"	"tdel"	"mult"	"pflux"	"pfluxe"	"name"	"vigcorr"	"trec"	"perflx"	"perflxe"	"refs"	"refs"	"time"	"sc"	"entry"	"dec"	"gamma"
"GX 17+2"	50121.67857	XPa	1	4.3	0.4	6.0	0.3	XPa	0.0676	0.0056	2.00	2.00	0.20	-	1	5.8	0.441	0.394	10065-01-01-01	99	1.90	-1.00	15.83	0.67	1	0.20	0.000	1233.5	34.7	18.2671	0.0	13.9	1.3	1	14287	16-12-2010	0.000	0.000	2.52	0.06	0	4.760	0.288	0.0	0.0	0.0	1	0.78	0.02	"GX 17+2"	0.997	0.0	15.425	0.119	99,100	99,100	50121.67857	0.809	2203	-14.036	2.1144	
"4U 1728-34"	50128.74874	XPa	1	5.7	0.3	11.3	0.2	XPa	0.4950	0.0270	2.00	1.00	0.01	-	1	5.3	0.036	0.600	10073-01-01-00	48	2.60	-1.00	87.21	2.06	1	0.10	1.681	6119.1	76.7	17.5326	0.0	20.0	1.0	1	14292	16-12-2010	0.000	0.000	2.82	0.04	0	34.664	0.228	0.0	0.0	0.0	1	3.90	0.02	"4U 1728-34"	0.998	0.0	3.862	0.039	45,46,47	45,46,47	50128.74874	0.676	2204	-33.835	0.0899	
"4U 1728-34"	50128.88217	XPa	1	5.6	0.3	13.3	0.3	XPa	0.4989	0.0251	2.00	1.00	0.01	-	2	4.8	0.039	0.600	10073-01-01-00	49	2.60	-1.00	89.96	1.93	2	0.20	1.681	7111.5	82.6	17.5326	0.0	17.9	1.0	1	14292	16-12-2010	0.000	0.000	2.63	0.03	0	37.219	0.274	0.0	0.0	3.2	1	4.24	0.03	"4U 1728-34"	0.997	0.0	3.862	0.039	45,46,47	45,46,47	50128.88217	0.676	2205	-33.835	0.0899	
"4U 1728-34"	50129.16469	XPa	1	4.6	0.3	10.5	0.3	XPa	0.2242	0.0115	1.00	3.00	0.06	-	1	5.1	0.054	0.559	10073-01-02-00	50	2.60	-1.00	49.27	1.36	3	0.10	2.243	3734.7	62.2	17.5326	0.0	19.4	1.0	1	14293	16-12-2010	0.000	0.000	2.53	0.04	0	18.062	0.160	0.0	0.0	6.8	1	2.47	0.02	"4U 1728-34"	0.998	0.0	4.140	0.046	48,45,46,47	48,45,46,47	50129.16469	0.720	2206	-33.835	0.0964	
"4U 1728-34"	50129.28551	XPa	1	5.6	0.4	12.1	0.3	XPa	0.4604	0.0336	2.00	1.00	0.02	-	2	6.4	0.056	0.559	10073-01-02-00	51	2.60	-1.00	82.20	1.89	4	0.10	2.243	5943.6	75.5	17.5326	0.0	19.6	1.0	1	14293	16-12-2010	0.000	0.000	2.69	0.03	0	35.474	0.358	0.0	0.0	2.9	1	3.68	0.02	"4U 1728-34"	0.999	0.0	4.140	0.046	48,45,46,49,47	48,45,46,49,47	50129.28551	0.720	2207	-33.835	0.0964	
"4U 1728-34"	50129.41718	XPa	1	5.2	0.4	12.1	0.3	XPa	0.4343	0.0302	2.00	1.00	0.01	-	3	6.1	0.056	0.559	10073-01-02-00	52	2.60	-1.00	83.82	1.89	5	0.10	2.243	6164.7	77.7	17.5326	0.0	19.2	1.0	1	14293	16-12-2010	0.000	0.000	2.70	0.03	0	34.970	0.358	0.0	0.0	3.2	1	3.67	0.02	"4U 1728-34"	0.999	0.0	4.140	0.046	50,48,45,46,49,47	50,48,45,46,49,47	50129.41718	0.720	2208	-33.835	0.0964	
"4U 1728-34"	50129.81055	XPa	1	4.6	0.3	13.0	0.3	XPa	0.4081	0.0227	2.00	1.00	0.02	-	1	5.5	0.048	0.548	10073-01-03-00	53	2.60	-1.00	89.80	1.94	6	0.00	2.245	6606.5	80.0	17.5326	0.0	18.9	1.0	1	14295	16-12-2010	0.000	0.000	2.65	0.03	0	29.534	0.238	0.0	0.0	9.4	1	3.61	0.02	"4U 1728-34"	0.999	0.0	4.230	0.041	45,46,47	45,46,47	50129.81055	0.687	2209	-33.835	0.0985	
"4U 1728-34"	50131.73044	XPa	1	5.0	0.3	13.3	0.3	XPa	0.4356	0.0234	2.00	1.00	0.02	-	1	4.6	0.036	0.637	10073-01-04-00	54	2.60	-1.00	87.39	1.87	7	0.10	1.570	6488.1	78.4	17.5326	0.0	16.5	1.0	1	14296	16-12-2010	0.000	0.000	2.60	0.03	0	29.641	0.188	0.0	0.0	46.1	1	4.08	0.03	"4U 1728-34"	0.998	0.0	3.230	0.030	45,46,47	45,46,47	50131.73044	0.755	2210	-33.835	0.0752	
"4U 1728-34"	50131.89502	XPa	1	5.6	0.1	12.1	0.3	XPa	0.5399	0.0044	2.00	1.00	0.02	d	2	4.3	0.030	0.637	10073-01-04-00	55	2.60	-1.00	96.40	2.29	8	0.20	1.570	6764.8	79.4	17.5326	0.0	17.9	1.0	1	14296	16-12-2010	0.000	0.000	2.80	0.04	8	30.023	0.162	0.0	0.0	4.0	1	4.14	0.03	"4U 1728-34"	0.996	0.0	3.230	0.030	45,46,47	45,46,47	50131.89502	0.755	2211	-33.835	0.0752	
"4U 1728-34"	50135.96471	XPa	1	7.7	0.2	9.1	0.2	XPa	0.8526	0.0067	2.00	2.00	0.05	d	1	6.7	0.046	0.720	10073-01-06-00	56	2.60	-1.00	110.66	3.30	9	0.20	1.005	7432.0	88.5	17.5326	0.0	22.0	1.0	1	14298	16-12-2010	0.000	0.000	3.35	0.05	8	45.750	0.225	0.0	0.0	97.7	1	4.64	0.03	"4U 1728-34"	0.997	0.0	2.437	0.021	45,46,47,3	45,46,47,3	50135.96471	0.850	2212	-33.835	0.0567	
