# The analysis results in this file have been extracted from a superset of the
#
#   Multi-INstrument Burst ARchive (MINBAR) data release 1
#
# comprising analyses of thermonuclear (type-I) X-ray bursts observed by
# the Rossi X-ray Timing Explorer (RXTE), BeppoSAX, and INTEGRAL.
#
# The data has been generated by a query from the web interface at
#
#   http://burst.sci.monash.edu
#
# Some of the data provided here may be PRELIMINARY and NOT SUITABLE FOR 
# PUBLICATION. For the definitive version of the analysis results comprising
# data release 1, download the machine-readable tables available at
#
#   https://doi.org/10.26180/5e4a697d9b8b6
#
# For more information, see the preprint at http://arxiv.org/abs/2003.00685 
# or contact the PI Duncan.Galloway@monash.edu
#
# The last comment line before the data gives the field names, which are
# also described here:
#   https://burst.sci.monash.edu/static/html/columns.html
#
"NAME"	"RA_OBJ"	"DEC_OBJ"	"TYPE"	"NBURST"	"NOBS"	
"IGR J00291+5934"	7.262708	59.57192	BPT	0	1320	
"4U 0513-40"	78.527	-40.04411	BGC	35	1203	
"4U 0614+09"	94.28062	9.137067	ABRSC	2	661	
"EXO 0748-676"	117.14042	-67.7522	BDEOT	357	1320	
"4U 0836-429"	129.34833	-42.900555	BT	82	1673	
"2S 0918-549"	140.1103	-55.2068	BC	7	834	
"4U 1246-588"	192.41402	-59.08741	BC	4	1200	
"4U 1254-69"	194.4048	-69.28917	BDS	34	681	
"SAX J1324.5-6313"	201.12625	-63.230556	B	1	1285	
"4U 1323-62"	201.65129	-62.13608	BD	99	1397	
"MAXI J1421-613"	215.40837	-61.60692	BT	0	753	
"Cen X-4"	224.59134	-31.668722	BRT	0	382	
"Cir X-1"	230.1703	-57.16674	ABDMRT	14	1679	
"4U 1543-624"	236.97787	-62.56817	BC	0	1679	
"UW CrB"	241.44113	25.862556	BDE	0	12	
"4U 1608-522"	243.1792	-52.42306	ABOST	145	3089	
"MAXI J1621-501"	245.0917	-50.01989	BT	0	3089	
"4U 1636-536"	250.23154	-53.751446	ABOS	664	3144	
"MAXI J1647-227"	252.05133	-23.014877	BT	0	3144	
"XTE J1701-462"	255.24358	-46.18572	TZR?	6	2843	
"XTE J1701-407"	255.43471	-40.85836	BT	1	2150	
"MXB 1658-298"	255.5272	-29.945646	BDEOT	27	1209	
"4U 1702-429"	256.5638	-43.035748	ABO	284	2454	
"IGR J17062-6143"	256.56772	-61.71125	BPTC	0	16	
"4U 1708-23"	257.0958	-22.80333	B	0	479	
"4U 1705-32"	257.22614	-32.332535	BC	1	1887	
"4U 1705-44"	257.22696	-44.102043	BAR	267	2635	
"XTE J1709-267"	257.37668	-26.655527	TBC	11	1409	
"XTE J1710-281"	257.55222	-28.130833	BDET	47	1806	
"4U 1708-40"	258.0993	-40.84278	B	0	2791	
"SAX J1712.6-3739"	258.1547	-37.64439	TBC	2	2226	
"2S 1711-339"	258.58243	-34.04647	TB	21	2366	
"RX J1718.4-4029"	259.6006	-40.49178	BC	2	2135	
"1H 1715-321"	259.69592	-32.17043	BT	0	3046	
"IGR J17191-2821"	259.81305	-28.29919	BOT	5	3212	
"XTE J1723-376"	260.91125	-37.661667	TB	12	2219	
"IGR J17254-3257"	261.35626	-32.95486	TBC	11	3697	
"4U 1722-30"	261.88702	-30.802307	GBAC	97	5261	
"4U 1728-34"	262.99033	-33.833763	ABORC	1173	4658	
"MXB 1730-335"	263.35254	-33.388832	TGBDR	126	5196	
"KS 1731-260"	263.5561	-26.0885	BOST	366	5390	
"Swift J1734.5-3027"	263.60074	-30.398056		0	5390	
"1RXH J173523.7-354013"	263.8458	-35.67023	B	0	1163	
"SLX 1732-304"	263.94693	-30.482027	GBRT	1	6094	
"IGR J17380-3749"	264.49506	-37.77211	BT	0	8	
"SLX 1735-269"	264.57132	-26.994057	BSC	23	6227	
"4U 1735-444"	264.7429	-44.45	ABR?S	71	1268	
"XTE J1739-285"	264.9748	-28.496334	TB	43	6551	
"SLX 1737-282"	265.17847	-28.302334	BC	3	6753	
"IGR J17445-2747"	266.12683	-27.766756	BT	0	5709	
"KS 1741-293"	266.21274	-29.35467	TB	29	7897	
"XMM J174457-2850.3"	266.23892	-28.83897	BT	0	852	
"GRS 1741.9-2853"	266.25967	-28.91377	BOT	27	7441	
"AX J1745.6-2901"	266.39767	-29.026	TBE	0	6844	
"1A 1742-289"	266.40494	-29.01796	TBR	3	6849	
"1A 1742-294"	266.52167	-29.514805	B	794	7059	
"SAX J1747.0-2853"	266.76083	-28.883028	BTS	113	7100	
